Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
freeCodeCamp,2014-12-24 17:49:19 +0000 UTC,2022-08-31 11:15:54 +0000 UTC,TypeScript,0,18137,136,16142,No Releases,352350
996.ICU,2019-03-26 07:31:14 +0000 UTC,2022-08-31 10:30:55 +0000 UTC,,0,1063,0,0,No Releases,263772
free-programming-books,2013-10-11 06:50:37 +0000 UTC,2022-08-31 11:10:53 +0000 UTC,,0,4500,27,703,No Releases,246881
coding-interview-university,2016-06-06 02:34:12 +0000 UTC,2022-08-31 11:14:19 +0000 UTC,,0,317,38,307,No Releases,231085
awesome,2014-07-11 13:42:37 +0000 UTC,2022-08-31 11:01:39 +0000 UTC,,0,591,21,290,No Releases,217190
developer-roadmap,2017-03-15 13:45:52 +0000 UTC,2022-08-31 11:12:56 +0000 UTC,TypeScript,0,540,103,542,No Releases,208874
public-apis,2016-03-20 23:49:42 +0000 UTC,2022-08-31 11:16:52 +0000 UTC,Python,0,1870,2,396,No Releases,207422
vue,2013-07-29 03:24:51 +0000 UTC,2022-08-31 11:06:36 +0000 UTC,TypeScript,241,1100,333,9527,2022-08-23T01:29:42Z,198998
system-design-primer,2017-02-26 16:15:28 +0000 UTC,2022-08-31 11:16:36 +0000 UTC,Python,0,193,164,67,No Releases,194797
react,2013-05-24 16:15:54 +0000 UTC,2022-08-31 11:14:42 +0000 UTC,JavaScript,99,8435,773,10896,2022-06-14T19:51:27Z,194080
tensorflow,2015-11-07 01:19:20 +0000 UTC,2022-08-31 11:03:31 +0000 UTC,C++,173,15055,2134,33340,2022-08-26T15:05:21Z,167456
build-your-own-x,2018-05-09 12:03:18 +0000 UTC,2022-08-31 11:13:59 +0000 UTC,,0,91,173,345,No Releases,163202
bootstrap,2011-07-29 21:19:00 +0000 UTC,2022-08-31 11:16:45 +0000 UTC,JavaScript,79,7785,277,21193,2022-07-19T15:56:38Z,159247
You-Dont-Know-JS,2013-11-16 02:37:24 +0000 UTC,2022-08-31 11:10:58 +0000 UTC,,0,354,82,821,No Releases,158463
CS-Notes,2018-02-13 14:56:24 +0000 UTC,2022-08-31 11:00:48 +0000 UTC,,0,375,114,438,No Releases,156015
javascript-algorithms,2018-03-24 07:47:04 +0000 UTC,2022-08-31 10:29:36 +0000 UTC,JavaScript,0,268,102,191,No Releases,149934
ohmyzsh,2009-08-28 18:15:37 +0000 UTC,2022-08-31 11:16:56 +0000 UTC,Shell,0,2706,230,4017,No Releases,149489
flutter,2015-03-06 22:54:58 +0000 UTC,2022-08-31 11:03:26 +0000 UTC,Dart,0,26896,10899,61597,No Releases,143997
Python,2016-07-16 09:44:01 +0000 UTC,2022-08-31 11:15:55 +0000 UTC,Python,0,1870,28,1029,No Releases,142719
awesome-python,2014-06-27 21:00:06 +0000 UTC,2022-08-31 10:55:37 +0000 UTC,Python,0,527,30,357,No Releases,139582
gitignore,2010-11-08 20:17:14 +0000 UTC,2022-08-31 11:12:06 +0000 UTC,,0,1522,0,0,No Releases,137753
linux,2011-09-04 22:48:12 +0000 UTC,2022-08-31 11:11:01 +0000 UTC,C,0,9,0,0,No Releases,137130
vscode,2015-09-03 20:23:38 +0000 UTC,2022-08-31 11:18:14 +0000 UTC,TypeScript,77,11303,7184,133489,2022-08-15T17:13:44Z,135986
javascript,2012-11-01 23:13:50 +0000 UTC,2022-08-31 11:13:35 +0000 UTC,JavaScript,0,780,88,1097,No Releases,126747
JavaGuide,2018-05-07 13:27:00 +0000 UTC,2022-08-31 10:25:46 +0000 UTC,Java,0,709,63,752,No Releases,126731
Python-100-Days,2018-03-01 16:05:52 +0000 UTC,2022-08-31 11:14:56 +0000 UTC,Python,0,12,479,95,No Releases,123408
computer-science,2014-05-04 00:18:39 +0000 UTC,2022-08-31 10:44:15 +0000 UTC,,0,221,8,568,No Releases,122640
youtube-dl,2010-10-31 14:35:07 +0000 UTC,2022-08-31 11:09:47 +0000 UTC,Python,341,1571,3866,21288,2021-12-16T18:49:28Z,112872
fucking-algorithm,2020-02-19 09:01:23 +0000 UTC,2022-08-31 10:26:18 +0000 UTC,Markdown,1,207,169,314,2021-11-09T02:04:27Z,109712
the-art-of-command-line,2015-05-20 15:11:03 +0000 UTC,2022-08-31 10:57:31 +0000 UTC,,0,304,93,116,No Releases,109564
react-native,2015-01-09 18:10:16 +0000 UTC,2022-08-31 11:01:20 +0000 UTC,JavaScript,211,647,1905,21197,2022-08-25T15:29:37Z,104583
electron,2013-04-12 01:47:36 +0000 UTC,2022-08-31 09:30:45 +0000 UTC,C++,1038,15526,1589,15780,2022-08-30T17:12:16Z,103424
go,2014-08-19 04:33:40 +0000 UTC,2022-08-31 11:10:50 +0000 UTC,Go,0,1,7545,44192,No Releases,103313
d3,2010-09-27 17:22:42 +0000 UTC,2022-08-31 09:25:29 +0000 UTC,JavaScript,186,439,3,2108,2022-07-03T14:04:27Z,102550
30-seconds-of-code,2017-11-29 17:35:03 +0000 UTC,2022-08-31 11:06:04 +0000 UTC,JavaScript,4,752,0,277,2018-12-05T15:11:24Z,101966
awesome-selfhosted,2015-06-01 02:33:17 +0000 UTC,2022-08-31 11:16:00 +0000 UTC,JavaScript,0,1910,77,635,No Releases,100593
create-react-app,2016-07-17 14:55:11 +0000 UTC,2022-08-31 10:37:55 +0000 UTC,JavaScript,83,1941,1417,6411,2022-04-12T17:33:16Z,96715
axios,2014-08-18 22:30:27 +0000 UTC,2022-08-31 11:16:40 +0000 UTC,JavaScript,39,578,145,3609,2022-05-31T19:14:45Z,95478
free-programming-books-zh_CN,2013-11-04 01:59:19 +0000 UTC,2022-08-31 09:46:27 +0000 UTC,,3,280,0,0,2018-11-05T05:19:05Z,95290
next.js,2016-10-05 23:32:51 +0000 UTC,2022-08-31 10:52:17 +0000 UTC,JavaScript,1532,9787,1114,12336,2022-08-30T19:57:37Z,91866
kubernetes,2014-06-06 22:56:04 +0000 UTC,2022-08-31 11:05:10 +0000 UTC,Go,550,52336,1620,39848,2022-08-23T17:36:43Z,91610
node,2014-11-26 19:57:11 +0000 UTC,2022-08-31 11:16:37 +0000 UTC,JavaScript,303,4723,1300,13633,2022-08-24T15:14:33Z,89873
awesome-go,2014-07-06 13:42:15 +0000 UTC,2022-08-31 11:04:27 +0000 UTC,Go,0,2794,12,454,No Releases,86816
deno,2018-05-15 01:34:26 +0000 UTC,2022-08-31 10:56:02 +0000 UTC,Rust,190,6839,930,5452,2022-08-24T22:20:07Z,85030
terminal,2017-08-11 18:38:22 +0000 UTC,2022-08-31 09:32:53 +0000 UTC,C++,80,2830,1447,8936,2022-08-16T21:46:18Z,84985
three.js,2010-03-23 18:58:01 +0000 UTC,2022-08-31 10:48:13 +0000 UTC,JavaScript,135,9954,361,10923,2022-07-28T10:15:02Z,84842
TypeScript,2014-06-17 15:28:39 +0000 UTC,2022-08-31 11:10:50 +0000 UTC,TypeScript,162,12104,5523,29122,2022-08-25T21:17:59Z,83821
angular,2014-09-18 16:12:01 +0000 UTC,2022-08-31 10:55:55 +0000 UTC,TypeScript,198,3186,1110,23183,2022-08-26T00:41:06Z,83546
ant-design,2015-04-24 15:37:24 +0000 UTC,2022-08-31 11:03:49 +0000 UTC,TypeScript,503,9158,832,23706,2022-08-30T08:24:46Z,81681
nodebestpractices,2017-09-15 08:33:19 +0000 UTC,2022-08-31 10:52:22 +0000 UTC,JavaScript,0,736,20,279,No Releases,81082
material-ui,2014-08-18 19:11:54 +0000 UTC,2022-08-31 09:40:15 +0000 UTC,JavaScript,371,14020,1061,15226,2022-08-29T17:37:09Z,80813
puppeteer,2017-05-09 22:16:13 +0000 UTC,2022-08-31 09:00:42 +0000 UTC,TypeScript,117,2609,327,5167,2022-08-29T09:11:05Z,79653
vue-element-admin,2017-04-17 03:35:49 +0000 UTC,2022-08-31 10:00:22 +0000 UTC,Vue,49,313,1135,2317,2020-06-21T13:39:37Z,78221
tech-interview-handbook,2016-07-05 05:00:48 +0000 UTC,2022-08-31 10:17:53 +0000 UTC,JavaScript,0,180,12,46,No Releases,77530
PowerToys,2019-05-01 17:44:02 +0000 UTC,2022-08-31 10:36:05 +0000 UTC,C#,66,3402,2956,13353,2022-08-02T18:31:57Z,76934
java-design-patterns,2014-08-09 16:45:18 +0000 UTC,2022-08-31 09:38:39 +0000 UTC,Java,0,848,222,477,No Releases,76510
the-book-of-secret-knowledge,2018-06-23 10:43:14 +0000 UTC,2022-08-31 11:02:31 +0000 UTC,,0,122,0,0,No Releases,76250
project-based-learning,2017-04-12 05:07:46 +0000 UTC,2022-08-31 11:10:57 +0000 UTC,,0,179,16,42,No Releases,76243
animate.css,2011-10-12 10:07:38 +0000 UTC,2022-08-31 09:54:56 +0000 UTC,CSS,22,313,21,805,2020-09-07T11:20:17Z,75573
models,2016-02-05 01:15:20 +0000 UTC,2022-08-31 10:50:22 +0000 UTC,Python,24,2246,1116,5848,2022-07-08T01:19:14Z,74279
storybook,2016-03-18 04:23:44 +0000 UTC,2022-08-31 10:01:19 +0000 UTC,TypeScript,1050,6834,1925,7401,2022-08-31T02:58:55Z,73650
thefuck,2015-04-08 15:08:04 +0000 UTC,2022-08-31 10:50:24 +0000 UTC,Python,17,474,202,444,2022-01-02T21:45:09Z,73056
clean-code-javascript,2016-11-25 22:25:41 +0000 UTC,2022-08-31 10:33:30 +0000 UTC,JavaScript,0,148,48,81,No Releases,71608
LeetCodeAnimation,2018-12-06 08:01:22 +0000 UTC,2022-08-31 09:25:42 +0000 UTC,Java,0,63,14,42,No Releases,71283
rust,2010-06-16 20:39:03 +0000 UTC,2022-08-31 11:10:54 +0000 UTC,Rust,101,42173,8314,36650,2022-08-11T14:46:41Z,71276
laravel,2011-06-08 03:06:08 +0000 UTC,2022-08-31 10:45:18 +0000 UTC,PHP,119,1445,0,0,2022-08-29T13:54:18Z,70811
Font-Awesome,2012-02-17 14:19:43 +0000 UTC,2022-08-31 10:51:32 +0000 UTC,JavaScript,47,192,5289,13206,2022-07-25T17:48:16Z,70014
scrcpy,2017-11-21 18:00:27 +0000 UTC,2022-08-31 11:11:28 +0000 UTC,C,28,61,1079,2037,2022-04-28T18:46:33Z,69807
transformers,2018-10-29 13:56:00 +0000 UTC,2022-08-31 10:56:03 +0000 UTC,Python,99,7092,402,9503,2022-08-24T13:54:13Z,69312
realworld,2016-02-26 20:49:53 +0000 UTC,2022-08-31 04:58:14 +0000 UTC,Shell,0,227,52,453,No Releases,68535
awesome-vue,2015-10-20 00:16:14 +0000 UTC,2022-08-31 10:34:55 +0000 UTC,,0,3342,25,180,No Releases,66174
django,2012-04-28 02:47:18 +0000 UTC,2022-08-31 10:33:39 +0000 UTC,Python,0,7600,0,0,No Releases,65977
bitcoin,2010-12-19 15:16:43 +0000 UTC,2022-08-31 11:12:41 +0000 UTC,C++,37,12106,461,6584,2022-04-21T19:46:36Z,65958
FiraCode,2014-11-11 19:32:38 +0000 UTC,2022-08-31 09:35:42 +0000 UTC,Clojure,29,123,332,892,2021-12-06T20:52:45Z,65845
advanced-java,2018-10-06 11:38:30 +0000 UTC,2022-08-31 10:09:53 +0000 UTC,Java,1,74,1,132,2021-10-21T09:28:54Z,65216
papers-we-love,2013-12-15 14:31:41 +0000 UTC,2022-08-31 10:26:01 +0000 UTC,Shell,0,403,16,157,No Releases,63966
moby,2013-01-18 18:10:57 +0000 UTC,2022-08-31 11:01:43 +0000 UTC,Go,107,17516,4035,17481,2022-06-07T01:27:08Z,63907
opencv,2012-07-19 09:40:17 +0000 UTC,2022-08-31 11:09:29 +0000 UTC,C++,58,10703,2152,6920,2022-06-05T15:32:44Z,63476
